name,pokedex_number,abilities,typing,hp,attack,defense,special_attack,special_defense,speed,height,weight,genus,gen_introduced,female_rate,genderless,baby_pokemon,legendary,mythical,is_default,forms_switchable,base_experience,capture_rate,egg_groups,egg_cycles,base_happiness,can_evolve,evolves_from,primary_color,shape,number_pokemon_with_typing,normal_attack_effectiveness,fire_attack_effectiveness,water_attack_effectiveness,electric_attack_effectiveness,grass_attack_effectiveness,ice_attack_effectiveness,fighting_attack_effectiveness,poison_attack_effectiveness,ground_attack_effectiveness,fly_attack_effectiveness,psychic_attack_effectiveness,bug_attack_effectiveness,rock_attack_effectiveness,ghost_attack_effectiveness,dragon_attack_effectiveness,dark_attack_effectiveness,steel_attack_effectiveness,fairy_attack_effectiveness
Bulbasaur,1,Overgrow~Chlorophyll,Grass~Poison,45,49,49,65,65,45,7,69,Seed Pokémon,1,0.125,False,False,False,False,True,False,64,45,Monster~Grass,20.0,70,True,,Green,Quadruped,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Ivysaur,2,Overgrow~Chlorophyll,Grass~Poison,60,62,63,80,80,60,10,130,Seed Pokémon,1,0.125,False,False,False,False,True,False,142,45,Monster~Grass,20.0,70,True,Bulbasaur,Green,Quadruped,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Venusaur,3,Overgrow~Chlorophyll,Grass~Poison,80,82,83,100,100,80,20,1000,Seed Pokémon,1,0.125,False,False,False,False,True,True,236,45,Monster~Grass,20.0,70,False,Ivysaur,Green,Quadruped,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Venusaur Gmax,3,Overgrow~Chlorophyll,Grass~Poison,80,82,83,100,100,80,240,10000,Seed Pokémon,1,0.125,False,False,False,False,False,True,236,45,Monster~Grass,20.0,70,False,Ivysaur,Green,Quadruped,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Venusaur Mega,3,Thick Fat,Grass~Poison,80,100,123,122,120,80,24,1555,Seed Pokémon,1,0.125,False,False,False,False,False,True,281,45,Monster~Grass,20.0,70,False,Ivysaur,Green,Quadruped,15.0,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
Charmander,4,Blaze~Solar Power,Fire,39,52,43,60,50,65,6,85,Lizard Pokémon,1,0.125,False,False,False,False,True,False,62,45,Monster~Dragon,20.0,70,True,,Red,Upright,34.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Charmeleon,5,Blaze~Solar Power,Fire,58,64,58,80,65,80,11,190,Flame Pokémon,1,0.125,False,False,False,False,True,False,142,45,Monster~Dragon,20.0,70,True,Charmander,Red,Upright,34.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
Charizard,6,Blaze~Solar Power,Fire~Flying,78,84,78,109,85,100,17,905,Flame Pokémon,1,0.125,False,False,False,False,True,True,240,45,Monster~Dragon,20.0,70,False,Charmeleon,Red,Upright,7.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
Charizard Gmax,6,Blaze~Solar Power,Fire~Flying,78,84,78,109,85,100,280,10000,Flame Pokémon,1,0.125,False,False,False,False,False,True,240,45,Monster~Dragon,20.0,70,False,Charmeleon,Red,Upright,7.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
Charizard Mega X,6,Tough Claws,Fire~Dragon,78,130,111,130,85,100,17,1105,Flame Pokémon,1,0.125,False,False,False,False,False,True,285,45,Monster~Dragon,20.0,70,False,Charmeleon,Red,Upright,3.0,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
Charizard Mega Y,6,Drought,Fire~Flying,78,104,78,159,115,100,17,1005,Flame Pokémon,1,0.125,False,False,False,False,False,True,285,45,Monster~Dragon,20.0,70,False,Charmeleon,Red,Upright,7.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
Squirtle,7,Torrent~Rain Dish,Water,44,48,65,50,64,43,5,90,Tiny Turtle Pokémon,1,0.125,False,False,False,False,True,False,63,45,Monster~Water 1,20.0,70,True,,Blue,Upright,72.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Wartortle,8,Torrent~Rain Dish,Water,59,63,80,65,80,58,10,225,Turtle Pokémon,1,0.125,False,False,False,False,True,False,142,45,Monster~Water 1,20.0,70,True,Squirtle,Blue,Upright,72.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
